jugador;pais;posicion;equipo;liga;edad;partidos_jugados;partidos_titular;minutos_jugados;goles_sin_penalties;npxG+xA;goles;disparos;disparos_a_puerta;%_disparos_a_puerta;goles/disparo;goles/disparo_a_puerta;distancia_media_disparo;tiros_libres_lanzados;penalties_marcados;penalties_intentados;xG;npxG;npxG/Sh;G-xG;npG-xG;pases_completados;pases_intentados;%_pases_completados;valor_de_mercado
Bakary Sako;MLI;FW,MF;Saint-Étienne;fr Ligue 1;33;7;1;156;0;0,3;0;6;0;0;0;0;21,6;1;0;0;0,3;0,3;0,04;-0,3;-0,3;32;44;72,7;281250
Bali Mumba;ENG;DF;Norwich City;eng Premier League;19;1;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;70;560000
Bamba Dieng;SEN;FW,MF;Marseille;fr Ligue 1;21;25;11;975;6;8,1;7;37;18;48,6;0,16;0,33;12,8;0;1;1;7,7;6,9;0,19;-0,7;-0,9;145;197;73,6;5366666
Baptiste Mouazan;FRA;MF;Lorient;fr Ligue 1;19;3;1;96;0;0,1;0;1;0;0;0;0;21;0;0;0;0,1;0,1;0,06;-0,1;-0,1;25;32;78,1;212500
Baptiste Santamaria;FRA;MF;Freiburg;de Bundesliga;26;1;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;50;15000000
Bartosz Bereszynski;POL;DF;Sampdoria;it Serie A;29;35;35;2946;0;1,8;0;6;1;16,7;0;0;14,3;0;0;0;0,7;0,7;0,11;-0,7;-0,7;1285;1645;78,1;4000000
Bartosz Bialek;POL;FW;Wolfsburg;de Bundesliga;19;12;1;178;0;0,7;0;7;2;28,6;0;0;11,9;0;0;0;0,5;0,5;0,07;-0,5;-0,5;25;44;56,8;4166666
Bastian Oczipka;GER;DF;Union Berlin;de Bundesliga;32;18;9;932;0;2,2;0;5;1;20;0;0;16,8;0;0;0;0,5;0,5;0,09;-0,5;-0,5;411;563;73;750000
Batista Mendy;FRA;MF,DF;Angers;fr Ligue 1;21;34;27;2413;1;1,2;1;14;6;42,9;0,07;0,17;20,3;0;0;0;0,7;0,7;0,05;0,3;0,3;1081;1247;86,7;2100000
Bebé;CPV;FW,MF;Rayo Vallecano;es La Liga;31;29;6;867;1;4;1;49;7;14,3;0,02;0,14;26,4;10;0;0;2,1;2,1;0,04;-1,1;-1,1;211;342;61,7;800000
Ben Chilwell;ENG;DF;Chelsea;eng Premier League;24;7;6;542;3;2,1;3;13;6;46,2;0,23;0,5;17,9;0;0;0;1,2;1,2;0,09;1,8;1,8;265;344;77;40285714
Ben Davies;WAL;DF;Tottenham;eng Premier League;28;29;28;2538;1;2,3;1;19;7;36,8;0,05;0,14;16,3;0;0;0;1,8;1,8;0,09;-0,8;-0,8;1375;1600;85,9;2916666
Ben Foster;ENG;GK;Watford;eng Premier League;38;26;26;2340;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;417;869;48;300000
Ben Gibson;ENG;DF;Norwich City;eng Premier League;28;28;28;2494;0;1,2;0;8;4;50;0;0;10;0;0;0;1,2;1,2;0,15;-1,2;-1,2;1065;1303;81,7;5250000
Ben Godfrey;ENG;DF;Everton;eng Premier League;23;23;23;2029;0;1,9;0;18;6;33,3;0;0;16,7;0;0;0;1,1;1,1;0,06;-1,1;-1,1;605;788;76,8;21428571
Ben Johnson;ENG;DF;West Ham;eng Premier League;21;20;16;1397;1;0,9;1;5;1;20;0,2;1;23,6;0;0;0;0,1;0,1;0,02;0,9;0,9;528;758;69,7;6500000
Ben Lhassine Kone;CIV;MF;Torino;it Serie A;21;1;0;81;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;36;83,3;435000
Ben Mee;ENG;DF;Burnley;eng Premier League;31;21;21;1839;3;1,9;3;18;4;22,2;0,17;0,75;8;0;0;0;1,8;1,8;0,11;1,2;1,2;539;734;73,4;4260000
Ben White;ENG;DF;Arsenal;eng Premier League;23;32;32;2880;0;1,6;0;12;3;25;0;0;14,1;0;0;0;1;1;0,08;-1;-1;1538;1793;85,8;38285714
Benjamin André;FRA;MF;Lille;fr Ligue 1;30;33;33;2752;2;3,4;2;18;5;27,8;0,11;0,4;13;0;0;0;1,6;1,6;0,09;0,4;0,4;1429;1770;80,7;13500000
Benjamin Bourigeaud;FRA;FW,MF;Rennes;fr Ligue 1;27;38;38;3193;11;18,5;11;54;21;38,9;0,2;0,52;17,6;9;0;0;5,3;5,3;0,1;5,7;5,7;1378;1890;72,9;16500000
Benjamin Henrichs;GER;DF;RB Leipzig;de Bundesliga;24;22;12;1143;3;4,1;3;15;6;40;0,2;0,5;14,1;0;0;0;1,7;1,7;0,12;1,3;1,3;592;738;80,2;12625000
Benjamin Hübner;GER;DF;Hoffenheim;de Bundesliga;32;5;5;375;1;0,8;1;8;3;37,5;0,13;0,33;10,5;0;0;0;0,8;0,8;0,1;0,2;0,2;215;262;82,1;1200000
Benjamin Mendy;FRA;DF;Manchester City;eng Premier League;27;1;1;78;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;87;83,9;15500000
Benjamin Pavard;FRA;DF;Bayern Munich;de Bundesliga;25;25;24;2076;0;2,7;0;19;3;15,8;0;0;20,9;0;0;0;1;1;0,05;-1;-1;1825;2090;87,3;33000000
Benjamin Uphoff;GER;GK;Freiburg;de Bundesliga;27;2;2;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;90;70;495000
Benno Schmitz;GER;DF;Köln;de Bundesliga;26;31;29;2421;0;4,7;0;12;3;25;0;0;21,2;0;0;0;0,4;0,4;0,04;-0,4;-0,4;1163;1646;70,7;1900000
