jugador;pais;posicion;equipo;liga;edad;partidos_jugados;partidos_titular;minutos_jugados;goles_sin_penalties;npxG+xA;goles;disparos;disparos_a_puerta;%_disparos_a_puerta;goles/disparo;goles/disparo_a_puerta;distancia_media_disparo;tiros_libres_lanzados;penalties_marcados;penalties_intentados;xG;npxG;npxG/Sh;G-xG;npG-xG;pases_completados;pases_intentados;%_pases_completados;valor_de_mercado
Danilo Pereira;POR;MF;Paris S-G;fr Ligue 1;29;27;22;2038;5;3,3;5;19;8;42,1;0,26;0,63;10,5;0;0;0;3,1;3,1;0,16;1,9;1,9;1476;1562;94,5;15200000
Danilo Soares;BRA;DF;Bochum;de Bundesliga;29;30;30;2564;0;1,8;0;13;1;7,7;0;0;25,2;2;0;0;0,5;0,5;0,04;-0,5;-0,5;1240;1660;74,7;1880000
Danny Blum;GER;FW,MF;Bochum;de Bundesliga;30;13;2;346;2;1,7;2;11;5;45,5;0,18;0,4;16,6;1;0;0;1;1;0,09;1;1;114;179;63,7;800000
Danny Ings;ENG;FW;Aston Villa;eng Premier League;29;30;22;1898;6;8,6;7;48;17;35,4;0,13;0,35;13,3;0;1;1;7,3;6,6;0,14;-0,3;-0,6;258;380;67,9;20400000
Danny Rose;ENG;DF;Watford;eng Premier League;31;8;7;689;0;0,9;0;4;1;25;0;0;19,7;0;0;0;0,2;0,2;0,04;-0,2;-0,2;221;331;66,8;2366666
Danny Ward;WAL;GK;Leicester City;eng Premier League;28;1;1;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;34;88,2;6666666
Danny Welbeck;ENG;FW;Brighton;eng Premier League;30;25;15;1478;6;7,1;6;43;20;46,5;0,14;0,3;12,3;0;0;0;6,1;6,1;0,15;-0,1;-0,1;227;284;79,9;5000000
Danny da Costa;GER;DF;Eint Frankfurt;de Bundesliga;28;11;7;725;0;0,3;0;2;0;0;0;0;12,8;0;0;0;0,1;0,1;0,05;-0,1;-0,1;216;315;68,6;3800000
Dante;BRA;DF;Nice;fr Ligue 1;37;34;33;2870;0;2,2;0;13;2;15,4;0;0;13,4;0;0;0;0,8;0,8;0,06;-0,8;-0,8;2146;2366;90,7;875000
Darko Brasanac;SRB;MF;Osasuna;es La Liga;29;35;27;2405;1;3,2;1;18;5;27,8;0,06;0,2;13,7;0;0;0;1,6;1,6;0,09;-0,6;-0,6;689;917;75,1;1920000
Darko Lazović;SRB;DF;Hellas Verona;it Serie A;30;34;32;2766;1;9,3;1;46;10;21,7;0,02;0,1;17,4;1;0;0;3,6;3,6;0,08;-2,6;-2,6;1098;1543;71,2;3875000
Darwin Machís;VEN;MF,FW;Granada;es La Liga;28;25;16;1376;4;4,4;4;38;17;44,7;0,11;0,24;21,4;1;0;0;1,7;1,7;0,05;2,3;2,3;292;437;66,8;7000000
Darío Benedetto;ARG;FW;Elche;es La Liga;31;14;6;590;2;3,6;2;18;6;33,3;0,11;0,33;20,6;0;0;0;2,7;2,7;0,15;-0,7;-0,7;77;114;67,5;4877777
Darío Poveda;ESP;FW,MF;Getafe;es La Liga;24;15;3;380;1;0,3;1;4;4;100;0,25;0,25;29,8;0;0;0;0,2;0,2;0,04;0,8;0,8;51;82;62,2;520000
David Alaba;AUT;DF;Real Madrid;es La Liga;29;30;30;2642;2;3,9;2;21;6;28,6;0,1;0,33;22;7;0;0;1,6;1,6;0,08;0,4;0,4;1804;1967;91,7;54166666
David García;ESP;DF;Osasuna;es La Liga;27;35;35;3105;4;1,6;4;31;4;12,9;0,13;1;11,5;0;0;0;1,3;1,3;0,04;2,7;2,7;1177;1422;82,8;13333333
David López;ESP;MF,DF;Espanyol;es La Liga;31;18;8;743;0;0,9;0;5;4;80;0;0;12,2;0;0;0;0,5;0,5;0,1;-0,5;-0,5;362;422;85,8;2300000
David Nemeth;AUT;DF;Mainz 05;de Bundesliga;20;6;2;311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;174;84,5;2757142
David Okereke;NGA;FW,MF;Venezia;it Serie A;23;32;24;2053;7;5,8;7;40;18;45;0,18;0,39;15,2;0;0;0;4,8;4,8;0,12;2,2;2,2;334;473;70,6;4016666
David Ospina;COL;GK;Napoli;it Serie A;32;31;31;2790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;811;996;81,4;4875000
David Raum;GER;DF;Hoffenheim;de Bundesliga;23;32;31;2757;3;11,6;3;25;8;32;0,12;0,38;19,7;5;0;0;1,5;1,5;0,06;1,5;1,5;1476;1988;74,2;14100000
David Raya;ESP;GK;Brentford;eng Premier League;25;24;24;2160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;705;1051;67,1;18714285
David Schnegg;AUT;DF;Venezia;it Serie A;22;4;2;142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;85;71,8;707142
David Silva;ESP;MF;Real Sociedad;es La Liga;35;25;22;1720;2;7,1;2;21;6;28,6;0,1;0,33;15,9;0;0;0;2,7;2,7;0,13;-0,7;-0,7;913;1043;87,5;4400000
David Soria;ESP;GK;Getafe;es La Liga;28;38;38;3414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;632;1180;53,6;8600000
David Timor;ESP;MF;Getafe;es La Liga;31;7;3;341;0;0,2;0;8;0;0;0;0;29,7;2;0;0;0,2;0,2;0,03;-0,2;-0,2;140;176;79,5;1240000
David Zima;CZE;DF;Torino;it Serie A;20;20;13;1314;0;1,1;0;6;3;50;0;0;10,5;0;0;0;0,7;0,7;0,11;-0,7;-0,7;522;605;86,3;6700000
David de Gea;ESP;GK;Manchester Utd;eng Premier League;30;38;38;3420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;646;911;70,9;17166666
Davide Biraschi;ITA;DF;Genoa;it Serie A;27;14;11;930;0;0,4;0;3;0;0;0;0;24,4;0;0;0;0,1;0,1;0,02;-0,1;-0,1;317;432;73,4;1700000
Davide Calabria;ITA;DF;Milan;it Serie A;24;26;24;2119;2;4,6;2;36;8;22,2;0,06;0,25;20,2;0;0;0;3,2;3,2;0,09;-1,2;-1,2;965;1267;76,2;24166666
Davide Faraoni;ITA;DF;Hellas Verona;it Serie A;29;32;30;2572;4;5,6;4;29;9;31;0,14;0,44;14;0;0;0;2,7;2,7;0,09;1,3;1,3;959;1369;70,1;5900000
Davide Frattesi;ITA;MF;Sassuolo;it Serie A;21;36;35;2854;4;10,1;4;66;19;28,8;0,06;0,21;16,5;0;0;0;6,6;6,6;0,1;-2,6;-2,6;1059;1265;83,7;15416666
Davide Marfella;ITA;GK;Napoli;it Serie A;21;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;100;55000
Davide Zappacosta;ITA;DF;Atalanta;it Serie A;29;34;29;2345;1;6,4;1;37;5;13,5;0,03;0,2;18,3;0;0;0;2,2;2,2;0,06;-1,2;-1,2;1255;1521;82,5;8666666
Davie Selke;GER;FW;Hertha BSC;de Bundesliga;26;25;10;1004;3;3;4;23;9;39,1;0,13;0,33;12,8;0;1;1;3,1;2,4;0,1;0,9;0,6;140;235;59,6;2640000
Davinson Sánchez;COL;DF;Tottenham;eng Premier League;25;23;17;1631;2;2,5;2;13;3;23,1;0,15;0,67;8,1;0;0;0;2,1;2,1;0,16;-0,1;-0,1;972;1088;89,3;28333333
Dayot Upamecano;FRA;DF;Bayern Munich;de Bundesliga;22;28;25;2211;1;2,1;1;10;1;10;0,1;1;12,3;0;0;0;0,8;0,8;0,08;0,2;0,2;2048;2262;90,5;52857142
Declan Rice;ENG;MF;West Ham;eng Premier League;22;36;35;3179;1;3;1;26;8;30,8;0,04;0,13;21,7;1;0;0;1,1;1,1;0,04;-0,1;-0,1;1950;2151;90,7;71666666
Dedryck Boyata;BEL;DF;Hertha BSC;de Bundesliga;30;23;22;1898;0;1,3;0;10;2;20;0;0;8,9;0;0;0;0,6;0,6;0,06;-0,6;-0,6;685;798;85,8;4350000
Deiver Machado;COL;DF;Lens;fr Ligue 1;27;22;5;523;0;0,9;0;2;0;0;0;0;23,2;0;0;0;0;0;0,02;0;0;216;257;84;1983333
Dejan Kulusevski;SWE;FW,MF;Juventus;it Serie A;21;20;5;772;1;3,1;1;18;6;33,3;0,06;0,17;14,9;0;0;0;1,9;1,9;0,11;-0,9;-0,9;196;244;80,3;41875000
Dejan Ljubicic;AUT;MF,FW;Köln;de Bundesliga;23;30;22;1969;3;5,8;3;29;7;24,1;0,1;0,43;19,4;0;0;0;2,3;2,3;0,08;0,7;0,7;516;730;70,7;6583333
Delano Burgzorg;NED;FW;Mainz 05;de Bundesliga;22;3;0;27;1;0,2;1;2;1;50;0,5;1;12,2;0;0;0;0,2;0,2;0,11;0,8;0,8;4;4;100;1150000
Dele Alli;ENG;MF;Everton;eng Premier League;25;11;1;338;0;0,4;0;3;0;0;0;0;19,3;0;0;0;0,1;0,1;0,03;-0,1;-0,1;114;152;75;19750000
Demarai Gray;ENG;MF,FW;Everton;eng Premier League;25;34;28;2338;5;8,8;5;65;15;23,1;0,08;0,33;20,2;4;0;0;4,5;4,5;0,07;0,5;0,5;544;757;71,9;15833333
Demba Seck;SEN;FW,MF;Torino;it Serie A;20;6;1;146;0;0,6;0;4;3;75;0;0;16,7;0;0;0;0,6;0,6;0,15;-0,6;-0,6;36;44;81,8;1700000
Denis Bouanga;GAB;FW,MF;Saint-Étienne;fr Ligue 1;26;34;28;2436;9;12,9;9;85;32;37,6;0,11;0,28;19,1;4;0;0;8,4;8,4;0,1;0,6;0,6;554;801;69,2;8142857
Denis Cheryshev;RUS;MF;Valencia;es La Liga;30;17;5;563;0;1,3;0;11;4;36,4;0;0;15,7;0;0;0;1;1;0,09;-1;-1;108;169;63,9;2716666
Denis Suárez;ESP;MF;Celta Vigo;es La Liga;27;38;33;2819;4;6,7;4;21;8;38,1;0,19;0,5;20,7;1;0;0;1,9;1,9;0,09;2,1;2,1;1630;2040;79,9;8666666
Denis Vavro;SVK;DF;Lazio;it Serie A;25;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;100;3250000
Denis Zakaria;SUI;MF;Juventus;it Serie A;24;9;6;597;1;1,7;1;10;4;40;0,1;0,25;16,1;0;0;0;1,5;1,5;0,15;-0,5;-0,5;138;178;77,5;29000000
Dennis Appiah;FRA;DF;Nantes;fr Ligue 1;29;32;22;2099;0;0,4;0;2;0;0;0;0;21,4;0;0;0;0;0;0,02;0;0;776;995;78;1700000
Dennis Geiger;GER;MF;Hoffenheim;de Bundesliga;23;20;17;1377;2;3;2;15;2;13,3;0,13;1;18,9;0;0;0;0,9;0,9;0,06;1,1;1,1;649;784;82,8;10200000
Dennis Jastrzembski;POL;DF,FW;Hertha BSC;de Bundesliga;21;8;1;225;0;0,5;0;1;0;0;0;0;16,5;0;0;0;0,1;0,1;0,06;-0,1;-0,1;69;107;64,5;621428
Dennis Johnsen;NOR;FW,MF;Venezia;it Serie A;23;26;17;1445;1;4,4;1;14;5;35,7;0,07;0,2;15,7;0;0;0;1,7;1,7;0,12;-0,7;-0,7;195;323;60,4;1200000
Dennis Praet;BEL;FW,MF;Torino;it Serie A;27;23;17;1539;2;6,6;2;25;7;28;0,08;0,29;16,2;0;0;0;2,5;2,5;0,11;-0,5;-0,5;444;595;74,6;13875000
Denso Kasius;NED;DF;Bologna;it Serie A;18;7;1;180;0;0,5;0;2;1;50;0;0;21,6;0;0;0;0,1;0,1;0,05;-0,1;-0,1;103;121;85,1;1285000
Denzel Dumfries;NED;DF;Inter;it Serie A;25;33;21;2028;5;9,6;5;39;17;43,6;0,13;0,29;10,9;0;0;0;5,8;5,8;0,15;-0,8;-0,8;647;864;74,9;20500000
Derek Mazou-Sacko;FRA;FW,DF;Troyes;fr Ligue 1;16;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;250000
Deyovaisio Zeefuik;NED;DF,MF;Hertha BSC;de Bundesliga;23;11;6;565;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;258;76,7;2916666
Diant Ramaj;GER;GK;Eint Frankfurt;de Bundesliga;19;1;1;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;40;70;458333
Dickson Abiama;NGA;FW;Greuther Fürth;de Bundesliga;22;24;5;726;0;3,3;0;18;4;22,2;0;0;15,6;0;0;0;2,2;2,2;0,12;-2,2;-2,2;90;139;64,7;700000
Didier Lamkel Zé;CMR;FW;Metz;fr Ligue 1;24;9;8;605;3;2,5;3;14;7;50;0,21;0,43;12,1;0;0;0;2,2;2,2;0,16;0,8;0,8;128;180;71,1;2390000
Diego Carlos;BRA;DF;Sevilla;es La Liga;28;34;34;2957;3;2,8;3;29;10;34,5;0,1;0,3;13,6;0;0;0;2,5;2,5;0,09;0,5;0,5;1892;2141;88,4;40000000
Diego Conde;ESP;GK;Getafe;es La Liga;22;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;320000
Diego Coppola;ITA;DF;Hellas Verona;it Serie A;17;4;3;249;0;0,1;0;1;0;0;0;0;7;0;0;0;0,1;0,1;0,07;-0,1;-0,1;76;95;80;1950000
Diego Demme;GER;MF;Napoli;it Serie A;29;19;7;692;1;0,6;1;2;1;50;0,5;1;13;0;0;0;0,3;0,3;0,14;0,7;0,7;541;600;90,2;9166666
Diego Falcinelli;ITA;FW,MF;Bologna;it Serie A;30;6;0;66;0;0,4;0;5;0;0;0;0;14,4;0;0;0;0,4;0,4;0,08;-0,4;-0,4;13;21;61,9;1150000
Diego Farias;BRA;MF,FW;Cagliari;it Serie A;31;4;0;66;0;0;0;1;0;0;0;0;21,6;0;0;0;0;0;0,04;0;0;29;35;82,9;1462500
Diego Godín;URU;DF;Cagliari;it Serie A;35;11;9;818;0;0,8;0;7;0;0;0;0;10;0;0;0;0,5;0,5;0,07;-0,5;-0,5;393;434;90,6;1040000
Diego González;ESP;DF;Elche;es La Liga;26;28;19;1793;0;0,3;0;4;1;25;0;0;12,2;0;0;0;0,2;0,2;0,05;-0,2;-0,2;591;704;83,9;1380000
Diego Lainez;MEX;FW;Betis;es La Liga;21;7;1;140;0;0,3;0;1;1;100;0;0;17,3;0;0;0;0,1;0,1;0,05;-0,1;-0,1;45;55;81,8;4500000
Diego Llorente;ESP;DF;Leeds United;eng Premier League;27;28;28;2340;3;1,4;3;10;3;30;0,3;1;8,9;0;0;0;1,4;1,4;0,14;1,6;1,6;1108;1344;82,4;17333333
Diego López;ESP;GK;Espanyol;es La Liga;39;36;36;3177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;837;1143;73,2;37500
Diego Perotti;ARG;FW,MF;Salernitana;it Serie A;33;11;1;287;0;0,9;0;9;2;22,2;0;0;17,5;1;0;1;1,4;0,6;0,07;-1,4;-0,6;111;147;75,5;1191666
Diego Rico;ESP;DF;Real Sociedad;es La Liga;28;21;19;1644;0;1,1;0;10;1;10;0;0;24,9;0;0;0;0,2;0,2;0,02;-0,2;-0,2;859;1131;76;3250000
Dilane Bakwa;FRA;FW,DF;Bordeaux;fr Ligue 1;18;5;0;43;0;0,4;0;2;1;50;0;0;17,3;0;0;0;0,4;0,4;0,18;-0,4;-0,4;9;14;64,3;1150000
Dimitri Foulquier;FRA;DF;Granada;es La Liga;28;2;2;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;76;68,4;3071428
Dimitri Liénard;FRA;DF,MF;Strasbourg;fr Ligue 1;33;33;23;2044;2;5,1;2;24;3;12,5;0,08;0,67;21,2;5;0;0;1,5;1,5;0,06;0,5;0,5;1053;1438;73,2;775000
Dimitri Payet;FRA;FW,MF;Marseille;fr Ligue 1;34;31;28;2592;5;15,8;12;61;19;31,1;0,08;0,26;23,2;24;7;7;10,5;5,2;0,09;1,5;-0,2;1261;1680;75,1;4428571
Dimitry Bertaud;FRA;GK;Montpellier;fr Ligue 1;23;11;9;833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221;312;70,8;1233333
Diogo Dalot;POR;DF;Manchester Utd;eng Premier League;22;24;19;1801;0;1,7;0;13;4;30,8;0;0;21,2;0;0;0;0,7;0,7;0,05;-0,7;-0,7;934;1171;79,8;20625000
Diogo Jota;POR;FW;Liverpool;eng Premier League;24;35;27;2364;15;21,6;15;91;33;36,3;0,16;0,45;11,8;0;0;0;16,1;16,1;0,18;-1,1;-1,1;568;771;73,7;52000000
Dion Lopy;SEN;MF;Reims;fr Ligue 1;19;26;19;1642;0;1,2;0;16;2;12,5;0;0;22,4;0;0;0;1;1;0,06;-1;-1;541;628;86,1;1800000
Divock Origi;BEL;FW;Liverpool;eng Premier League;26;7;0;133;3;1,6;3;10;5;50;0,3;0,6;13,9;0;0;0;1,6;1,6;0,16;1,4;1,4;30;37;81,1;11666666
Djeidi Gassama;FRA;FW;Paris S-G;fr Ligue 1;17;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;100;425000
Djené;TOG;DF;Getafe;es La Liga;29;35;35;3115;0;0,4;0;4;1;25;0;0;17,3;0;0;0;0,1;0,1;0,02;-0,1;-0,1;1035;1331;77,8;14142857
Djibril Sidibé;FRA;DF;Monaco;fr Ligue 1;29;17;12;949;0;1,1;0;4;1;25;0;0;22,5;1;0;0;0,2;0,2;0,04;-0,2;-0,2;596;751;79,4;5785714
Djibril Sow;SUI;MF;Eint Frankfurt;de Bundesliga;24;31;28;2415;2;2,8;2;16;3;18,8;0,13;0,67;23,8;0;0;0;0,6;0,6;0,04;1,4;1,4;1043;1226;85,1;16916666
Domenico Berardi;ITA;FW;Sassuolo;it Serie A;26;33;33;2819;9;16,3;15;103;40;38,8;0,09;0,23;21,3;8;6;6;12,4;7,8;0,08;2,6;1,2;1017;1416;71,8;28500000
Domenico Criscito;ITA;DF;Genoa;it Serie A;34;20;18;1618;0;1,1;6;17;0;0;0;0;31,4;0;6;7;5,6;0,3;0,02;0,4;-0,3;791;1005;78,7;875000
Domingos Duarte;POR;DF;Granada;es La Liga;26;21;19;1687;1;0,7;1;6;1;16,7;0,17;1;8,7;0;0;0;0,7;0,7;0,11;0,3;0,3;548;702;78,1;9800000
Dominic Calvert-Lewin;ENG;FW;Everton;eng Premier League;24;17;15;1283;3;6,4;5;30;11;36,7;0,1;0,27;13,1;0;2;3;6,8;4,6;0,15;-1,8;-1,6;180;292;61,6;38857142
Dominic Thompson;ENG;DF;Brentford;eng Premier League;21;2;2;146;0;0;0;1;0;0;0;0;18;0;0;0;0;0;0,02;0;0;21;41;51,2;1080000
Dominik Greif;SVK;GK;Mallorca;es La Liga;24;1;1;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;31;64,5;1700000
Dominik Kohr;GER;MF;Mainz 05;de Bundesliga;27;22;19;1614;0;2,8;0;18;2;11,1;0;0;20,5;0;0;0;1,2;1,2;0,07;-1,2;-1,2;647;852;75,9;5083333
Dominik Szoboszlai;HUN;MF,FW;RB Leipzig;de Bundesliga;20;31;15;1543;6;9,2;6;40;14;35;0,15;0,43;21,8;7;0;1;4,8;4,1;0,1;1,2;1,9;760;985;77,2;31200000
Dominique Heintz;GER;DF;Freiburg;de Bundesliga;27;1;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;21;90,5;3357142
Donny van de Beek;NED;MF;Everton;eng Premier League;24;7;5;483;1;1;1;5;1;20;0,2;1;19,4;0;0;0;0,9;0,9;0,18;0,1;0,1;202;241;83,8;24625000
Donyell Malen;NED;FW;Dortmund;de Bundesliga;22;27;20;1684;5;7,8;5;47;21;44,7;0,11;0,24;16,5;0;0;0;4,2;4,2;0,09;0,8;0,8;401;541;74,1;25714285
Dor Peretz;ISR;MF;Venezia;it Serie A;26;18;4;585;0;1;0;5;0;0;0;0;16,8;0;0;0;0,7;0,7;0,15;-0,7;-0,7;182;236;77,1;1475000
Douglas Luiz;BRA;MF;Aston Villa;eng Premier League;23;34;31;2715;2;4,5;2;23;8;34,8;0,09;0,25;23,7;8;0;0;2;2;0,09;0;0;1246;1495;83,3;35500000
Dogan Alemdar;TUR;GK;Rennes;fr Ligue 1;18;12;12;1080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;286;392;73;3157142
Dries Mertens;BEL;FW,MF;Napoli;it Serie A;34;30;16;1384;10;6,2;11;44;19;43,2;0,23;0,53;18,2;4;1;1;4,6;3,8;0,09;6,4;6,2;414;553;74,9;5837500
Duván Zapata;COL;FW;Atalanta;it Serie A;30;24;20;1722;7;15,7;10;78;31;39,7;0,09;0,23;12,8;0;3;3;13,6;11,4;0,15;-3,6;-4,4;425;557;76,3;25333333
Dwight Gayle;ENG;FW;Newcastle Utd;eng Premier League;30;8;0;38;0;0,8;0;2;0;0;0;0;7;0;0;0;0,3;0,3;0,15;-0,3;-0,3;11;13;84,6;2680000
Dwight McNeil;ENG;MF;Burnley;eng Premier League;21;38;35;3107;0;7,1;0;52;15;28,8;0;0;22,1;4;0;0;2,3;2,3;0,04;-2,3;-2,3;798;1150;69,4;20400000
Dylan Bronn;TUN;DF;Metz;fr Ligue 1;26;30;28;2545;1;2,6;1;15;7;46,7;0,07;0,14;12,9;0;0;0;1,6;1,6;0,11;-0,6;-0,6;958;1161;82,5;4900000
Dylan Chambost;FRA;MF,FW;Troyes;fr Ligue 1;23;19;9;753;0;1,1;0;10;1;10;0;0;19,5;1;0;0;0,5;0,5;0,05;-0,5;-0,5;375;466;80,5;1400000
Dídac Vilà;ESP;DF,MF;Espanyol;es La Liga;32;9;1;203;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;89;79,8;558333
Ebenezer Annan;GHA;DF;Bologna;it Serie A;18;1;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11;36,4;125000
Eberechi Eze;ENG;MF,FW;Crystal Palace;eng Premier League;23;13;6;605;1;1,4;1;10;1;10;0,1;1;20,2;1;0;0;0,5;0,5;0,05;0,5;0,5;234;305;76,7;22833333
Ebrima Colley;GAM;FW,MF;Spezia;it Serie A;21;11;3;394;0;2,2;0;12;5;41,7;0;0;20,5;0;0;0;0,7;0,7;0,06;-0,7;-0,7;87;127;68,5;3283333
Ebrima Darboe;GAM;MF;Roma;it Serie A;20;1;1;63;0;0;0;1;0;0;0;0;17;0;0;0;0;0;0,03;0;0;38;40;95;2000000
Eddie Nketiah;ENG;FW;Arsenal;eng Premier League;22;21;8;835;5;6,1;5;28;12;42,9;0,18;0,42;14,2;0;0;0;4,6;4,6;0,17;0,4;0,4;187;233;80,3;16428571
Eddie Salcedo;ITA;MF,FW;Spezia;it Serie A;19;12;5;429;0;1,8;0;16;4;25;0;0;14,4;1;0;0;1,6;1,6;0,1;-1,6;-1,6;104;150;69,3;5616666
Eden Hazard;BEL;FW,MF;Real Madrid;es La Liga;30;18;7;717;0;3,7;0;12;7;58,3;0;0;15,1;0;0;0;1,2;1,2;0,1;-1,2;-1,2;366;411;89,1;23722222
Ederson;BRA;GK;Manchester City;eng Premier League;27;37;37;3330;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;976;1089;89,6;49200000
Edimilson Fernandes;SUI;DF,FW;Arminia;de Bundesliga;25;7;2;283;0;0,5;0;4;2;50;0;0;43,7;0;0;0;0,2;0,2;0,06;-0,2;-0,2;93;124;75;3633333
Edinson Cavani;URU;FW;Manchester Utd;eng Premier League;34;15;7;766;2;4,7;2;18;6;33,3;0,11;0,33;11,4;0;0;0;3,4;3,4;0,19;-1,4;-1,4;180;225;80;5000000
Edmond Tapsoba;BFA;DF;Leverkusen;de Bundesliga;22;22;19;1814;1;0,4;1;7;1;14,3;0,14;1;9,1;0;0;0;0,4;0,4;0,06;0,6;0,6;1261;1425;88,5;37000000
Edo Kayembe;COD;MF;Watford;eng Premier League;22;13;9;799;0;0,5;0;6;0;0;0;0;28,8;0;0;0;0,2;0,2;0,03;-0,2;-0,2;365;428;85,3;2425000
Edoardo Bove;ITA;MF,FW;Roma;it Serie A;19;11;0;68;1;0;1;1;1;100;1;1;17,2;0;0;0;0;0;0,01;1;1;31;36;86,1;1216666
Edoardo Goldaniga;ITA;DF;Cagliari;it Serie A;27;11;11;934;0;0,8;0;5;1;20;0;0;15,1;0;0;0;0,6;0,6;0,13;-0,6;-0,6;350;482;72,6;1325000
Edoardo Vergani;ITA;FW,MF;Salernitana;it Serie A;20;6;1;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;24;58,3;575000
Edon Zhegrova;KVX;MF,FW;Lille;fr Ligue 1;22;13;5;481;2;1,3;2;15;7;46,7;0,13;0,29;21;0;0;0;0,7;0,7;0,05;1,3;1,3;184;239;77;4166666
Edouard Mendy;SEN;GK;Chelsea;eng Premier League;29;34;34;3060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;781;939;83,2;26714285
Edouard Michut;FRA;MF;Paris S-G;fr Ligue 1;18;5;0;70;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;55;94,5;1583333
Eduard Löwen;GER;MF;Bochum;de Bundesliga;24;26;15;1416;1;5,9;2;37;13;35,1;0,03;0,08;24;9;1;1;2,8;2,1;0,06;-0,8;-1,1;447;678;65,9;3000000
Eduardo Camavinga;FRA;MF;Real Madrid;es La Liga;18;25;12;1191;2;2,2;2;12;5;41,7;0,17;0,4;23,6;0;0;0;1;1;0,08;1;1;758;841;90,1;55833333
Eiji Kawashima;JPN;GK;Strasbourg;fr Ligue 1;38;1;1;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;31;90,3;275000
El Bilal Touré;MLI;FW;Reims;fr Ligue 1;19;21;15;1194;1;4,8;2;33;11;33,3;0,03;0,09;13,4;0;1;1;4,1;3,3;0,1;-2,1;-2,3;246;333;73,9;7583333
El Chadaille Bitshiabu;FRA;DF;Paris S-G;fr Ligue 1;16;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;100;2500000
Eldor Shomurodov;UZB;FW,MF;Roma;it Serie A;26;28;5;784;3;6,2;3;31;11;35,5;0,1;0,27;12,1;0;0;0;4;4;0,13;-1;-1;159;232;68,5;9285714
Eliaquim Mangala;FRA;DF;Saint-Étienne;fr Ligue 1;30;14;14;1179;1;0,6;1;3;1;33,3;0,33;1;8,7;0;0;0;0,5;0,5;0,18;0,5;0,5;501;573;87,4;2100000
Eliot Matazo;BEL;MF;Monaco;fr Ligue 1;19;18;8;790;0;0,3;0;4;1;25;0;0;26,6;0;0;0;0,1;0,1;0,03;-0,1;-0,1;344;388;88,7;6000000
Ellis Simms;ENG;FW;Everton;eng Premier League;20;1;1;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;15;53,3;1460000
Ellyes Skhiri;TUN;MF;Köln;de Bundesliga;26;22;20;1820;4;3,9;4;23;8;34,8;0,17;0,5;15,1;0;0;0;3,3;3,3;0,14;0,7;0,7;794;936;84,8;11416666
Elseid Hysaj;ALB;DF;Lazio;it Serie A;27;29;24;2027;1;1,1;1;4;2;50;0,25;0,5;21,2;0;0;0;0,5;0,5;0,13;0,5;0,5;1232;1415;87,1;7800000
Emanuel Vignato;ITA;MF,DF;Bologna;it Serie A;20;24;3;594;0;2;0;5;1;20;0;0;21;0;0;0;0,2;0,2;0,05;-0,2;-0,2;336;402;83,6;4860000
Emerson;BRA;DF;Barcelona;es La Liga;22;3;1;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;69;84,1;13714285
Emil Audero;ITA;GK;Sampdoria;it Serie A;24;29;29;2560;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;693;999;69,4;9000000
